"","home","Pts","X1stD","TotYd","TOLost","TOGained","Cmp","SkYds","QBR","RA","Pnt","ToP","X3DRate"
"4434",1,20,20,392,2,1,20,8,81.1,20,3,1561,0.583333333333333
"4435",0,24,24,328,1,2,21,22,80.7,30,5,2033,0.416666666666667
"4436",0,13,18,290,2,4,21,11,80.3,28,5,2010,0.272727272727273
"4437",1,35,22,295,0,2,15,17,114.2,33,5,1964,0.2
"4438",1,14,20,416,3,2,16,11,119.7,28,4,1662,0.25
"4439",0,3,20,389,4,0,25,25,49.9,19,4,1886,0.571428571428571
"4440",1,27,17,377,1,0,15,0,79.4,28,4,1755,0.142857142857143
"4441",0,13,22,360,2,1,23,22,70.7,36,4,2351,0.5
"4442",0,19,19,284,1,1,22,36,75.9,26,3,2105,0.578947368421053
"4443",1,27,21,331,0,1,24,10,123.7,28,5,2196,0.533333333333333
"4444",0,31,24,433,2,1,36,5,115.9,20,3,2175,0.571428571428571
"4445",1,16,22,343,0,2,22,0,74.5,30,4,2011,0.428571428571429
"4446",0,23,19,412,1,1,24,7,87.1,22,4,1797,0.466666666666667
"4447",0,24,22,431,2,1,27,14,88,29,3,2250,0.625
"4448",1,27,25,355,0,0,24,7,120.1,27,3,1993,0.363636363636364
"4449",0,24,22,349,2,1,21,25,95.3,35,4,2115,0.461538461538462
"4450",1,16,14,249,1,1,16,3,74.2,29,6,1897,0.375
"4451",1,10,17,309,3,0,18,24,48.6,27,8,1971,0.294117647058824
"4452",0,14,13,242,8,1,20,6,38,20,6,1590,0.111111111111111
"4453",0,23,19,366,3,2,25,6,75.3,26,4,2061,0.384615384615385
"4454",1,24,18,340,2,0,22,14,86.5,17,7,1394,0.384615384615385
"4455",0,24,20,388,2,1,24,20,91.6,17,6,1620,0.416666666666667
"4456",1,10,15,280,3,3,14,35,53.4,31,7,1905,0.142857142857143
"4457",1,24,17,212,0,4,15,13,117.9,28,6,1821,0.384615384615385
"4458",1,9,14,194,2,0,21,28,73.2,15,7,1559,0.307692307692308
"4459",0,10,14,278,2,0,20,17,71.2,16,7,1466,0.25
"4460",1,23,21,459,5,0,26,27,89.4,21,2,1704,0.272727272727273
"4461",0,27,29,434,2,0,36,26,88.4,21,4,2187,0.533333333333333
"4462",0,19,16,328,0,2,24,24,111.6,26,6,2149,0.375
"4463",1,19,17,286,1,0,17,15,104.4,29,1,1861,0.583333333333333
"4464",0,18,20,276,2,3,29,34,67,19,7,1799,0.266666666666667
"4465",0,31,24,479,3,1,28,29,93.3,20,3,1872,0.384615384615385
"4466",1,23,19,300,1,1,18,40,72.1,33,5,2116,0.470588235294118
