"","Pts","1stD","TotYd","PassY","RushY","TO","Cmp","PA","Sk","SkYds","QBR","RA","Pnt","PntYds","3DConv","3DAtt","4DConv","4DAtt","ToP"
"17312","25","20","291","192","99","","17","25","3","19","104.1","27","4","169","5","11","0","0","26:57"
"18312","17","11","258","165","93","3","18","29","0","0","60.3","16","6","272","1","9","0","1","19:47"
"2412","43","21","339","216","123","","14","24","4","32","127.8","28","6","277","2","10","0","0","29:18"
"3412","17","18","243","119","124","","19","28","4","35","88.2","24","6","288","1","10","0","1","28:06"
"4412","7","21","340","249","91","1","23","40","9","55","75.9","26","8","372","8","17","0","1","35:16"
"5312","24","22","365","227","138","","18","27","0","0","129.7","34","5","225","6","13","0","1","29:19"
"6412","7","14","252","150","102","","13","22","5","33","79.7","27","6","300","4","14","0","0","28:48"
"7412","0","12","204","165","39","3","20","34","7","42","34.6","21","9","424","2","14","0","2","30:14"
"8412","23","22","403","306","97","1","24","30","2","17","117.5","29","2","84","6","11","1","2","32:15"
"9213","27","16","246","174","72","1","21","33","3","19","107.4","21","5","248","5","13","0","1","28:26"
"10411","20","24","431","310","121","3","27","39","4","21","80.1","21","3","139","3","10","1","1","26:43"
"11412","35","19","371","146","225","1","13","19","4","35","126.2","26","4","204","2","8","0","1","22:08"
"13412","42","21","471","252","219","2","14","18","1","7","155.8","33","3","132","4","8","0","0","23:04"
"14312","31","15","292","138","154","2","17","22","6","44","122.9","30","5","244","5","13","1","1","27:29"
